CMOS Winnowing Report
Submissions analyzed: 54
k-mer length: 12 digits
window size: 5 hashes

179. bills_08.c vs bills_23.c | similarity=0.7107 | shared=86 | total=121
180. bills_04.c vs bills_22.c | similarity=0.7103 | shared=76 | total=107
181. bills_18.c vs bills_33.c | similarity=0.7099 | shared=93 | total=131
182. bills_01.c vs bills_46.c | similarity=0.7097 | shared=88 | total=124
183. bills_15.c vs bills_33.c | similarity=0.7094 | shared=83 | total=117
184. bills_28.c vs bills_48.c | similarity=0.7094 | shared=83 | total=117
185. bills_15.c vs bills_31.c | similarity=0.7091 | shared=78 | total=110
186. bills_06.c vs bills_30.c | similarity=0.7087 | shared=90 | total=127
187. bills_30.c vs bills_45.c | similarity=0.7087 | shared=90 | total=127
188. bills_01.c vs bills_29.c | similarity=0.7083 | shared=85 | total=120
189. bills_07.c vs bills_28.c | similarity=0.7059 | shared=84 | total=119
190. bills_08.c vs bills_43.c | similarity=0.7054 | shared=79 | total=112
191. bills_03.c vs bills_43.c | similarity=0.7043 | shared=81 | total=115
192. bills_03.c vs bills_47.c | similarity=0.7043 | shared=81 | total=115
193. bills_09.c vs bills_43.c | similarity=0.7043 | shared=81 | total=115
194. bills_09.c vs bills_47.c | similarity=0.7043 | shared=81 | total=115
195. bills_43.c vs bills_53.c | similarity=0.7043 | shared=81 | total=115
196. bills_43.c vs bills_54.c | similarity=0.7043 | shared=81 | total=115
197. bills_47.c vs bills_53.c | similarity=0.7043 | shared=81 | total=115
198. bills_47.c vs bills_54.c | similarity=0.7043 | shared=81 | total=115
199. bills_32.c vs bills_40.c | similarity=0.7034 | shared=83 | total=118
200. bills_32.c vs bills_36.c | similarity=0.7027 | shared=78 | total=111
201. bills_10.c vs bills_25.c | similarity=0.7023 | shared=92 | total=131
202. bills_07.c vs bills_31.c | similarity=0.7018 | shared=80 | total=114
203. bills_10.c vs bills_31.c | similarity=0.7016 | shared=87 | total=124
204. bills_26.c vs bills_46.c | similarity=0.7009 | shared=82 | total=117
205. bills_03.c vs bills_21.c | similarity=0.6983 | shared=81 | total=116
206. bills_09.c vs bills_21.c | similarity=0.6983 | shared=81 | total=116
207. bills_21.c vs bills_53.c | similarity=0.6983 | shared=81 | total=116
208. bills_21.c vs bills_54.c | similarity=0.6983 | shared=81 | total=116
209. bills_36.c vs bills_45.c | similarity=0.6983 | shared=81 | total=116
210. bills_03.c vs bills_45.c | similarity=0.6975 | shared=83 | total=119
211. bills_09.c vs bills_45.c | similarity=0.6975 | shared=83 | total=119
212. bills_22.c vs bills_25.c | similarity=0.6975 | shared=83 | total=119
213. bills_45.c vs bills_53.c | similarity=0.6975 | shared=83 | total=119
214. bills_45.c vs bills_54.c | similarity=0.6975 | shared=83 | total=119
215. bills_33.c vs bills_47.c | similarity=0.6967 | shared=85 | total=122
216. bills_07.c vs bills_36.c | similarity=0.6964 | shared=78 | total=112
217. bills_08.c vs bills_31.c | similarity=0.6964 | shared=78 | total=112
218. bills_32.c vs bills_48.c | similarity=0.6964 | shared=78 | total=112
219. bills_42.c vs bills_43.c | similarity=0.6960 | shared=87 | total=125
220. bills_03.c vs bills_31.c | similarity=0.6957 | shared=80 | total=115
221. bills_09.c vs bills_31.c | similarity=0.6957 | shared=80 | total=115
